anio,mes,total_pedidos,ingreso_mensual,ticket_promedio
2016,9,3,134.97,44.99
2016,10,313,40325.11,128.83
2016,12,1,10.9,10.9
2017,1,913,111798.36,122.45
2017,2,1858,234223.4,126.06
2017,3,2897,359198.85,123.99
2017,4,2569,340669.68,132.61
2017,5,4004,489338.25,122.21
2017,6,3489,421923.37,120.93
2017,7,4416,481604.52,109.06
2017,8,4797,554699.7,115.63
2017,9,4737,607399.67,128.22
2017,10,5214,648247.65,124.33
2017,11,8475,987765.37,116.55
2017,12,6187,726033.19,117.35
2018,1,8037,924645.0,115.05
2018,2,7518,826437.13,109.93
2018,3,8017,953356.25,118.92
2018,4,7827,973534.09,124.38
2018,5,7810,977544.69,125.17
2018,6,7010,856077.86,122.12
2018,7,6963,867953.46,124.65
2018,8,7142,838576.64,117.41
